Competition Title,Competition Date,Category,Rank,FIRST,LAST,Nation,Qualification lead,Qualification speed,Qualification boulder,Points,Final Points,Final lead,Final boulder,Final speed
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,3,GINÉS LÓPEZ,Alberto,ESP,1.,6.,3.,18.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,4,COLOMBO,Davide Marco,ITA,3.,9.,6.,175.50,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,5,BAZAN MARTÍN,Héctor,ESP,7.,10.,4.,280.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,6,BOGESCHDORFER,Lawrence,AUT,16.,4.,6.,416.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,7,PODOLAN,Thomas,AUT,4.,21.,5.,420.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,8,HOFHERR,Johannes,AUT,6.,11.,8.,528.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,9,LIMPANICHPAKDEE,Aphiwit,THA,23.,2.,20.,989.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,10,ZIETEK,Jakub,POL,11.,8.,15.,1320.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,11,POLAK,Andrej,SLO,5.,22.,14.,1540.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,12,GOH WEN BIN,Luke,SGP,14.,12.,10.,1680.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,13,MALIK,Sangram,IND,26.,7.,13.,2366.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,14,BUJAK,Milosz,POL,28.,3.,29.,2478.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,15,SOH JIT KAI,Jarrell,SGP,15.,19.,9.,2565.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,16,ATANASOV,Petar,BUL,12.,18.,12.,2592.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,17,BATAGELJ,Anej,SLO,10.,26.,11.,2860.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,18,JOST,Dario,SUI,8.,23.,17.,3128.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,19,KURTOVIĆ,Filip,CRO,18.,16.,16.,4608.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,20,RUSEV,Dimitar,BUL,17.,14.,20.,5117.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,21,FABRIC,Jakub,SVK,19.,17.,19.,6137.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,22,ERNI,Michel,SUI,13.,20.,26.,6890.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,23,ZUÑIGA GONZÁLEZ,Diego Eugenio,MEX,20.,24.,18.,8640.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,24,WAGNER,Christian,CHI,24.,13.,28.,8736.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,25,JONES,Matthew,NZL,25.,25.,20.,13437.50,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,26,CHOTIKKRAI,Poksakon,THA,30.,15.,31.,14175.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,27,BELLOTTO,Mateus,BRA,21.,27.,26.,15025.50,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,28,MAVROMATIS,Emmanouil,GRE,22.,28.,24.,15092.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,29,RASK JUNKER,Mathias,DEN,27.,30.,24.,19845.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,30,NOEL-BAKER,John-Philip,GRE,29.,33.,20.,20575.50,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,31,AGUADO DEJEAS,Benjamin,CHI,31.,34.,29.,31093.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,32,LAMBAT,Ameya,IND,32.,32.,31.,32256.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,33,PENDSE,Rutoo Rahul,IND,34.,29.,33.,33031.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,34,ROGALEV,Mark,UZB,33.,31.,33.,34270.50,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,1,SEKIGUCHI,Junta,JPN,1.,16.,2.,32.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,2,KUANG,Oliver,USA,13.,1.,5.,65.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,3,TOMAS,Nichol,THA,19.,7.,1.,133.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,4,UEMURA,Haruki,JPN,2.,15.,7.,225.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,5,BLOEM,Thorben Perry,GER,15.,4.,4.,240.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,6,KIROV,Slav,BUL,5.,10.,6.,300.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,7,LE,Dylan,CAN,16.,2.,17.,544.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,8,XIBERRAS,Joseph,GBR,7.,11.,7.,577.50,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,9,ROBERTS,Toby,GBR,3.,26.,9.,702.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,10,ZINSLER,David,AUT,9.,8.,11.,792.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,11,GRUZITIS,Edvards,LAT,14.,23.,3.,966.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,12,VARMA,Aman,IND,11.,5.,19.,1072.50,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,13,RADICS,Attila Zsombor,HUN,10.,13.,15.,2015.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,14,VÁLYI,Gergő,HUN,4.,31.,18.,2232.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,15,TUSNÁDY,Nimród Sebestyén,HUN,8.,28.,10.,2240.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,16,RIVADENEIRA,Paolo,ECU,18.,6.,23.,2484.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,17,KIM,Juho,KOR,34.,3.,28.,2907.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,18,ROMŠAK,Timotej,SLO,12.,27.,12.,3888.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,19,JAKI,Jaka,SLO,6.,33.,21.,4257.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,20,GURBA,Jan,POL,20.,9.,25.,4500.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,21,ČAČIJA,Roko,CRO,23.,20.,13.,5980.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,22,BONEV,Ivan,BUL,17.,30.,14.,7140.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,23,WOLFF,Oskar,NZL,22.,22.,15.,7502.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,24,KIM,Taeyun,KOR,27.,12.,28.,9405.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,25,KIM,Dohyeon,KOR,21.,17.,27.,9639.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,26,SUKAPANPOTHARAM,Vin,THA,27.,18.,19.,9652.50,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,27,GIANNONE,Nicholas,RSA,31.,14.,36.,15624.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,28,GUIGNARD,Louis,SUI,26.,29.,21.,16211.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,29,ESPARTA FRADE,Joanes,ESP,24.,35.,24.,20160.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,30,LEDESMA,jose tomas,CHI,33.,24.,26.,20592.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,31,NIGHTINGALE,Jordan,RSA,32.,19.,33.,20672.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,32,KALLIKAS,Dimitrios,GRE,35.,21.,32.,23520.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,33,ROWOLD,Daniel Massimo,DEN,29.,25.,33.,24650.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,34,URRUTIA,Joaquin,CHI,25.,34.,31.,26350.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,35,LAVRENTAKIS-RIGAKIS,Filippos,GRE,30.,32.,30.,28800.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,36,KHASANOV,Jakhongir,UZB,36.,36.,33.,44064.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,1,AMAGASA,Sohta,JPN,2.,7.,1.,14.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,2,TANAKA,Shuta,JPN,1.,9.,2.,18.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,3,UZNIK,Nicolai,AUT,6.,4.,4.,96.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,4,CLÉMENCE,Julien,SUI,3.,13.,5.,195.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,5,ZAJC,Ziga,SLO,7.,6.,6.,252.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,6,LINACISORO MOLINA,Mikel Asier,ESP,4.,8.,9.,288.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,7,WONG,Cheuk-nam,HKG,24.,1.,23.,552.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,8,FRANCKAERT,Lukas,BEL,15.,14.,3.,630.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,9,KURIC,Peter,SVK,9.,10.,7.,675.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,10,CHAN CHONG KIAT,Mark,SGP,18.,3.,16.,891.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,11,RIVADENEIRA,Nickolaie,ECU,17.,2.,27.,918.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,12,GRÜNENFELDER,Nino,SUI,5.,16.,18.,1440.00,,,,
